flight_id,operation,planned_time,scheduled_time,runway,delay_minutes
3913,departure,2016-03-01 03:00:00,2016-03-01 03:02:37,1,2.6238
7108,departure,2016-03-01 03:00:00,2016-03-01 03:04:21,2,4.3621
19209,departure,2016-03-01 03:15:00,2016-03-01 03:15:00,1,0.0000
19837,departure,2016-03-01 03:15:00,2016-03-01 03:18:23,1,3.3896
9267,departure,2016-03-01 03:30:00,2016-03-01 03:30:00,1,0.0000
34,departure,2016-03-01 03:30:00,2016-03-01 03:34:49,1,4.8219
14276,departure,2016-03-01 03:35:00,2016-03-01 03:36:57,2,1.9574
9711,departure,2016-03-01 03:40:00,2016-03-01 03:43:55,1,3.9235
7542,departure,2016-03-01 03:50:00,2016-03-01 03:50:00,1,0.0000
10116,departure,2016-03-01 03:55:00,2016-03-01 03:55:00,1,0.0000
692,departure,2016-03-01 04:45:00,2016-03-01 04:45:00,1,0.0000
3205,departure,2016-03-01 04:50:00,2016-03-01 04:50:00,2,0.0000
599,departure,2016-03-01 05:00:00,2016-03-01 05:00:00,1,0.0000
14159,departure,2016-03-01 05:30:00,2016-03-01 05:33:07,1,3.1323
19589,arrival,2016-03-01 05:55:00,2016-03-01 05:55:40,1,0.6702
17265,arrival,2016-03-01 06:20:00,2016-03-01 06:20:00,1,0.0000
3097,departure,2016-03-01 06:30:00,2016-03-01 06:33:52,1,3.8689
10040,arrival,2016-03-01 07:05:00,2016-03-01 07:06:28,1,1.4737
8934,arrival,2016-03-01 07:20:00,2016-03-01 07:20:00,1,0.0000
9747,arrival,2016-03-01 07:35:00,2016-03-01 07:35:00,1,0.0000
7575,arrival,2016-03-01 07:55:00,2016-03-01 07:55:00,1,0.0000
13102,departure,2016-03-01 08:00:00,2016-03-01 08:00:00,2,0.0000
8858,arrival,2016-03-01 08:15:00,2016-03-01 08:15:00,1,0.0000
3938,arrival,2016-03-01 08:10:00,2016-03-01 08:14:07,2,4.1235
3135,departure,2016-03-01 08:20:00,2016-03-01 08:20:00,3,0.0000
3951,arrival,2016-03-01 08:15:00,2016-03-01 08:18:02,1,3.0336
10064,departure,2016-03-01 08:20:00,2016-03-01 08:20:00,2,0.0000
5212,arrival,2016-03-01 08:25:00,2016-03-01 08:27:46,1,2.7767
9603,departure,2016-03-01 08:25:00,2016-03-01 08:27:55,2,2.9304
4469,arrival,2016-03-01 08:40:00,2016-03-01 08:40:00,1,0.0000
7814,departure,2016-03-01 08:50:00,2016-03-01 08:50:00,1,0.0000
5643,departure,2016-03-01 08:50:00,2016-03-01 08:50:00,2,0.0000
2538,departure,2016-03-01 08:55:00,2016-03-01 08:55:00,1,0.0000
17619,departure,2016-03-01 08:55:00,2016-03-01 08:55:00,2,0.0000
9799,departure,2016-03-01 08:55:00,2016-03-01 08:55:00,3,0.0000
19483,departure,2016-03-01 09:05:00,2016-03-01 09:05:00,1,0.0000
6855,arrival,2016-03-01 09:00:00,2016-03-01 09:04:48,2,4.8041
13223,departure,2016-03-01 09:05:00,2016-03-01 09:05:09,3,0.1632
