flight_id,operation,planned_time,scheduled_time,delay_minutes,runway
4715,departure,2016-01-01T02:00:00,2016-01-01T02:00:00,0.0,1
8100,departure,2016-01-01T02:00:00,2016-01-01T02:00:00,0.0,2
22533,departure,2016-01-01T02:05:00,2016-01-01T02:07:04.794169,2.08,1
22578,departure,2016-01-01T02:15:00,2016-01-01T02:15:00,0.0,1
22161,departure,2016-01-01T02:20:00,2016-01-01T02:20:25.937440,0.43,1
15008,departure,2016-01-01T02:20:00,2016-01-01T02:21:12.936327,1.22,2
2205,departure,2016-01-01T02:20:00,2016-01-01T02:23:43.842291,3.73,1
10493,departure,2016-01-01T02:30:00,2016-01-01T02:31:10.417352,1.17,1
15623,departure,2016-01-01T02:35:00,2016-01-01T02:38:07.976143,3.13,1
10976,departure,2016-01-01T02:40:00,2016-01-01T02:42:03.061305,2.05,1
8596,departure,2016-01-01T02:50:00,2016-01-01T02:50:00,0.0,1
11481,departure,2016-01-01T02:55:00,2016-01-01T02:55:00,0.0,2
11229,departure,2016-01-01T03:10:00,2016-01-01T03:10:29.683864,0.49,1
11292,departure,2016-01-01T03:20:00,2016-01-01T03:20:01.868249,0.03,1
58,departure,2016-01-01T03:30:00,2016-01-01T03:30:00,0.0,1
21871,departure,2016-01-01T03:35:00,2016-01-01T03:35:00,0.0,2
625,departure,2016-01-01T04:45:00,2016-01-01T04:45:00,0.0,1
4033,departure,2016-01-01T04:50:00,2016-01-01T04:51:38.264572,1.64,1
15871,arrival,2016-01-01T05:00:00,2016-01-01T05:00:00,0.0,1
579,departure,2016-01-01T05:00:00,2016-01-01T05:00:00,0.0,2
19619,arrival,2016-01-01T05:20:00,2016-01-01T05:22:55.608279,2.93,1
10126,arrival,2016-01-01T06:20:00,2016-01-01T06:23:18.895487,3.31,1
3971,departure,2016-01-01T06:30:00,2016-01-01T06:33:37.381023,3.62,1
14717,departure,2016-01-01T07:00:00,2016-01-01T07:00:39.396329,0.66,1
9789,departure,2016-01-01T07:00:00,2016-01-01T07:02:46.134305,2.77,2
4731,arrival,2016-01-01T07:10:00,2016-01-01T07:10:00,0.0,1
4782,arrival,2016-01-01T07:15:00,2016-01-01T07:15:00,0.0,2
10044,arrival,2016-01-01T07:15:00,2016-01-01T07:15:00,0.0,1
11396,departure,2016-01-01T07:20:00,2016-01-01T07:20:00,0.0,3
10840,departure,2016-01-01T07:25:00,2016-01-01T07:25:00,0.0,1
6084,arrival,2016-01-01T07:25:00,2016-01-01T07:26:07.576921,1.13,2
2220,arrival,2016-01-01T07:25:00,2016-01-01T07:27:12.678406,2.21,3
15052,arrival,2016-01-01T07:35:00,2016-01-01T07:35:00,0.0,1
5303,arrival,2016-01-01T07:40:00,2016-01-01T07:41:37.770245,1.63,1
1377,arrival,2016-01-01T07:45:00,2016-01-01T07:45:00,0.0,2
6538,departure,2016-01-01T07:50:00,2016-01-01T07:50:00,0.0,1
8852,departure,2016-01-01T07:50:00,2016-01-01T07:53:28.630968,3.48,1
3328,departure,2016-01-01T07:55:00,2016-01-01T07:55:00,0.0,2
22150,arrival,2016-01-01T07:55:00,2016-01-01T07:55:00,0.0,3
11063,departure,2016-01-01T07:55:00,2016-01-01T07:56:28.630968,1.48,1
7811,arrival,2016-01-01T08:00:00,2016-01-01T08:00:00,0.0,2
